strike,mean,median,sd,min,max
NA,0.356,0.355,0.028,0.279,0.523
NA,0.359,0.359,0,0.359,0.359
0.355,0.345,0.355,0.015,0.279,0.355
0.361,0.348,0.355,0.017,0.279,0.361
0.368,0.35,0.355,0.019,0.279,0.368
0.376,0.352,0.355,0.021,0.279,0.376
0.388,0.354,0.355,0.023,0.279,0.388
