variable,mean,median,sd,min,max
ac_1,1162.82,1123.57,317.8,271.21,2390.21
ac_2,1163.07,1121.78,317.08,273.44,2387.99
ac_3,1163.45,1121.99,316.33,275.66,2385.02
ac_4,1162.71,1120.81,315.62,276.4,2379.84
ac_5,1162.9,1121.86,314.76,277.88,2372.43
fc,1160.53,1120.58,320.86,262.26,2395.28
nc,1162.92,1122.59,312.96,279.36,2316.85
