SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN
52338,WWHT,2074,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.857,180.4
52338,SGBT,2075,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,12.371,150.2
52338,SBAR,2076,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.672,123.5
52338,WWHT,2077,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.385,180.4
52338,SGBT,2091,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.996,150.2
52338,SGBT,2079,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.726,150.2
52338,SBAR,2080,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.989,123.5
52338,WWHT,2081,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.083,180.4
52338,WWHT,2082,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.623,180.4
52338,SGBT,2083,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,8.893,150.2
52338,SBAR,2084,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,5.606,123.5
52338,WWHT,2085,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.549,180.4
52338,WWHT,2086,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.262,180.4
52338,SGBT,2087,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,9.232,150.2
52338,SBAR,2088,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.211,123.5
52338,WWHT,2089,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.416,180.4
52338,WWHT,2090,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,7.41,180.4
52338,SGBT,2095,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,11.705,150.2
52338,SBAR,2092,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.533,123.5
52338,WWHT,2093,CRS1,BAU,rf,cmip6_ipsl_ssp126,contill_bau,6.501,180.4
