SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN,YLD
52339,WWHT,2015,CRS2,BAU,rf,hist,contill_bau,7.037,180,7.996590909090909
52339,WWHT,1991,CRS7,BAU,rf,hist,mintill_cons,4.853,180,5.514772727272727
52339,WWHT,1987,CRS4,BAU,rf,hist,mintill_cons,5.149,180,5.851136363636364
52339,WWHT,1995,CRS7,BAU,rf,hist,mintill_cons,5.005,180,5.6875
52339,WWHT,1991,CRS4,BAU,rf,hist,mintill_cons,5.217,180,5.92840909090909
52339,WWHT,1995,CRS4,BAU,rf,hist,mintill_cons,5.515,180,6.267045454545454
52339,WWHT,1992,CRS1,BAU,rf,hist,mintill_cons,5.18,180,5.886363636363636
52339,WWHT,1999,CRS4,BAU,rf,hist,mintill_cons,5.697,180,6.473863636363636
52339,WWHT,1996,CRS1,BAU,rf,hist,mintill_cons,4.163,180,4.730681818181819
52339,WWHT,2003,CRS4,BAU,rf,hist,mintill_cons,5.82,180,6.613636363636364
52339,WWHT,1991,CRS2,BAU,rf,hist,contill_bau,6.302,180,7.161363636363636
52339,WWHT,2007,CRS4,BAU,rf,hist,mintill_cons,6.531,180,7.4215909090909085
52339,WWHT,2011,CRS7,BAU,rf,hist,contill_bau,6.461,180,7.342045454545455
52339,WWHT,1995,CRS2,BAU,rf,hist,contill_bau,6.58,180,7.4772727272727275
52339,WWHT,2007,CRS1,BAU,rf,hist,contill_bau,7.45,180,8.465909090909092
52339,WWHT,1986,CRS6,BAU,rf,hist,mintill_cons,4.988,180,5.668181818181819
52339,WWHT,1999,CRS2,BAU,rf,hist,contill_bau,6.469,180,7.351136363636364
52339,WWHT,2016,CRS4,BAU,rf,hist,mintill_cons,6.27,180,7.124999999999999
52339,WWHT,2019,CRS7,BAU,rf,hist,contill_bau,7.701,180,8.751136363636363
52339,WWHT,2012,CRS1,BAU,rf,hist,mintill_cons,5.47,180,6.215909090909091
52339,WWHT,2015,CRS1,BAU,rf,hist,contill_bau,7.102,180,8.070454545454545
52339,WWHT,2020,CRS4,BAU,rf,hist,mintill_cons,6.635,180,7.539772727272727
52339,WWHT,2015,CRS1,BAU,rf,hist,mintill_cons,5.726,180,6.506818181818182
52339,WWHT,1987,CRS7,BAU,rf,hist,contill_bau,5.752,180,6.536363636363636
52339,WWHT,2002,CRS6,BAU,rf,hist,mintill_cons,6.282,180,7.138636363636364
52339,WWHT,1995,CRS7,BAU,rf,hist,contill_bau,6.615,180,7.517045454545455
52339,WWHT,1987,CRS1,BAU,rf,hist,contill_bau,5.642,180,6.411363636363637
52339,WWHT,1999,CRS7,BAU,rf,hist,contill_bau,6.639,180,7.544318181818182
52339,WWHT,1988,CRS1,BAU,rf,hist,contill_bau,7.024,180,7.9818181818181815
52339,WWHT,1995,CRS4,BAU,rf,hist,contill_bau,7.203,180,8.185227272727273
52339,WWHT,1991,CRS1,BAU,rf,hist,contill_bau,6.306,180,7.165909090909091
52339,WWHT,2003,CRS7,BAU,rf,hist,contill_bau,6.912,180,7.8545454545454545
52339,WWHT,1992,CRS1,BAU,rf,hist,contill_bau,7.305,180,8.301136363636363
52339,WWHT,1995,CRS1,BAU,rf,hist,contill_bau,6.652,180,7.5590909090909095
52339,WWHT,2007,CRS7,BAU,rf,hist,contill_bau,7.594,180,8.629545454545454
52339,WWHT,1996,CRS1,BAU,rf,hist,contill_bau,6.128,180,6.963636363636364
52339,WWHT,1999,CRS1,BAU,rf,hist,contill_bau,6.555,180,7.448863636363636
52339,WWHT,2000,CRS1,BAU,rf,hist,contill_bau,7.965,180,9.051136363636363
52339,WWHT,1995,CRS2,BAU,rf,hist,mintill_cons,4.922,180,5.593181818181818
52339,WWHT,2011,CRS4,BAU,rf,hist,contill_bau,6.947,180,7.894318181818182
52339,WWHT,2008,CRS1,BAU,rf,hist,contill_bau,7.167,180,8.144318181818182
52339,WWHT,2015,CRS4,BAU,rf,hist,contill_bau,7.543,180,8.57159090909091
52339,WWHT,2007,CRS3,BAU,rf,hist,mintill_cons,6.656,180,7.5636363636363635
52339,WWHT,2020,CRS7,BAU,rf,hist,mintill_cons,6.039,180,6.8625
52339,WWHT,2007,CRS2,BAU,rf,hist,mintill_cons,5.882,180,6.684090909090909
52339,WWHT,2015,CRS3,BAU,rf,hist,contill_bau,7.506,180,8.529545454545454
52339,WWHT,2020,CRS1,BAU,rf,hist,contill_bau,7.823,180,8.889772727272728
52339,WWHT,2019,CRS3,BAU,rf,hist,contill_bau,8.056,180,9.154545454545454
52339,WWHT,1987,CRS2,BAU,rf,hist,mintill_cons,5.003,180,5.685227272727273
52339,WWHT,1991,CRS2,BAU,rf,hist,mintill_cons,4.692,180,5.331818181818182
52339,WWHT,2015,CRS7,BAU,rf,hist,mintill_cons,5.764,180,6.55
52339,WWHT,1999,CRS2,BAU,rf,hist,mintill_cons,5.033,180,5.719318181818182
52339,WWHT,2016,CRS7,BAU,rf,hist,mintill_cons,5.579,180,6.339772727272727
52339,WWHT,2019,CRS7,BAU,rf,hist,mintill_cons,6.549,180,7.442045454545455
52339,WWHT,1990,CRS6,BAU,rf,hist,mintill_cons,5.825,180,6.619318181818182
52339,WWHT,2020,CRS7,BAU,rf,hist,contill_bau,7.762,180,8.820454545454545
52339,WWHT,1994,CRS6,BAU,rf,hist,mintill_cons,5.876,180,6.677272727272728
52339,WWHT,1987,CRS1,BAU,rf,hist,mintill_cons,5.106,180,5.802272727272727
52339,WWHT,1988,CRS1,BAU,rf,hist,mintill_cons,6.003,180,6.821590909090909
52339,WWHT,2000,CRS7,BAU,rf,hist,contill_bau,7.939,180,9.021590909090909
52339,WWHT,1987,CRS2,BAU,rf,hist,contill_bau,5.625,180,6.392045454545454
52339,WWHT,2004,CRS7,BAU,rf,hist,contill_bau,7.109,180,8.07840909090909
52339,WWHT,1999,CRS1,BAU,rf,hist,mintill_cons,5.187,180,5.894318181818182
52339,WWHT,2000,CRS1,BAU,rf,hist,mintill_cons,5.519,180,6.271590909090909
52339,WWHT,2012,CRS7,BAU,rf,hist,contill_bau,7.786,180,8.847727272727273
52339,WWHT,2012,CRS4,BAU,rf,hist,mintill_cons,6.228,180,7.077272727272727
52339,WWHT,2015,CRS7,BAU,rf,hist,contill_bau,7.071,180,8.035227272727273
52339,WWHT,2015,CRS4,BAU,rf,hist,mintill_cons,6.052,180,6.877272727272727
52339,WWHT,2012,CRS1,BAU,rf,hist,contill_bau,7.83,180,8.897727272727273
52339,WWHT,2019,CRS4,BAU,rf,hist,contill_bau,8.047,180,9.144318181818182
52339,WWHT,1998,CRS6,BAU,rf,hist,contill_bau,7.52,180,8.545454545454545
52339,WWHT,2019,CRS3,BAU,rf,hist,mintill_cons,6.674,180,7.58409090909091
52339,WWHT,1992,CRS7,BAU,rf,hist,contill_bau,7.285,180,8.278409090909092
52339,WWHT,2002,CRS6,BAU,rf,hist,contill_bau,7.631,180,8.67159090909091
52339,WWHT,1992,CRS4,BAU,rf,hist,contill_bau,7.539,180,8.567045454545454
