SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN,YLD
52338,WWHT,2019,CRS2,BAU,rf,hist,contill_bau,7.648,180,8.690909090909091
52338,WWHT,1987,CRS2,BAU,rf,hist,contill_bau,5.091,180,5.785227272727273
52338,WWHT,1991,CRS2,BAU,rf,hist,contill_bau,6.162,180,7.002272727272727
52338,WWHT,1995,CRS2,BAU,rf,hist,contill_bau,6.352,180,7.218181818181819
52338,WWHT,1999,CRS2,BAU,rf,hist,contill_bau,6.829,180,7.760227272727272
52338,WWHT,2003,CRS2,BAU,rf,hist,contill_bau,7.04,180,8
52338,WWHT,2019,CRS4,BAU,rf,hist,contill_bau,8.044,180,9.14090909090909
52338,WWHT,2011,CRS3,BAU,rf,hist,mintill_cons,6.041,180,6.864772727272728
52338,WWHT,2020,CRS1,BAU,rf,hist,mintill_cons,5.928,180,6.736363636363636
52338,WWHT,1988,CRS4,BAU,rf,hist,contill_bau,6.811,180,7.739772727272727
52338,WWHT,1991,CRS4,BAU,rf,hist,contill_bau,6.621,180,7.523863636363637
52338,WWHT,1992,CRS4,BAU,rf,hist,contill_bau,7.302,180,8.297727272727272
52338,WWHT,1988,CRS1,BAU,rf,hist,contill_bau,6.689,180,7.601136363636364
52338,WWHT,1995,CRS4,BAU,rf,hist,contill_bau,6.929,180,7.8738636363636365
52338,WWHT,1996,CRS4,BAU,rf,hist,contill_bau,5.739,180,6.521590909090909
52338,WWHT,1992,CRS1,BAU,rf,hist,contill_bau,7.057,180,8.019318181818182
52338,WWHT,1999,CRS4,BAU,rf,hist,contill_bau,7.15,180,8.125
52338,WWHT,2000,CRS4,BAU,rf,hist,contill_bau,8.072,180,9.172727272727272
52338,WWHT,1996,CRS1,BAU,rf,hist,contill_bau,5.528,180,6.281818181818181
52338,WWHT,2003,CRS4,BAU,rf,hist,contill_bau,7.39,180,8.397727272727272
52338,WWHT,2004,CRS4,BAU,rf,hist,contill_bau,7.098,180,8.065909090909091
52338,WWHT,2000,CRS1,BAU,rf,hist,contill_bau,7.903,180,8.980681818181818
52338,WWHT,2007,CRS4,BAU,rf,hist,contill_bau,8.296,180,9.427272727272726
52338,WWHT,2008,CRS4,BAU,rf,hist,contill_bau,7.364,180,8.368181818181817
52338,WWHT,2004,CRS1,BAU,rf,hist,contill_bau,6.955,180,7.903409090909091
52338,WWHT,2011,CRS4,BAU,rf,hist,contill_bau,6.893,180,7.8329545454545455
52338,WWHT,2012,CRS4,BAU,rf,hist,contill_bau,7.883,180,8.957954545454545
52338,WWHT,2008,CRS1,BAU,rf,hist,contill_bau,7.231,180,8.217045454545454
52338,WWHT,2015,CRS4,BAU,rf,hist,contill_bau,7.299,180,8.294318181818182
52338,WWHT,2016,CRS4,BAU,rf,hist,contill_bau,7.454,180,8.470454545454546
52338,WWHT,2012,CRS1,BAU,rf,hist,contill_bau,7.458,180,8.475
52338,WWHT,2019,CRS4,BAU,rf,hist,mintill_cons,6.559,180,7.453409090909091
52338,WWHT,2011,CRS3,BAU,rf,hist,contill_bau,7.178,180,8.156818181818181
52338,WWHT,2015,CRS3,BAU,rf,hist,contill_bau,7.404,180,8.413636363636364
52338,WWHT,2020,CRS1,BAU,rf,hist,contill_bau,7.739,180,8.794318181818182
52338,WWHT,2015,CRS2,BAU,rf,hist,mintill_cons,5.276,180,5.995454545454545
52338,WWHT,2019,CRS3,BAU,rf,hist,contill_bau,8.166,180,9.279545454545454
52338,WWHT,2019,CRS2,BAU,rf,hist,mintill_cons,6.222,180,7.070454545454546
52338,WWHT,1987,CRS3,BAU,rf,hist,contill_bau,5.142,180,5.843181818181819
52338,WWHT,1987,CRS2,BAU,rf,hist,mintill_cons,4.528,180,5.145454545454545
52338,WWHT,1991,CRS3,BAU,rf,hist,contill_bau,6.98,180,7.9318181818181825
52338,WWHT,1991,CRS2,BAU,rf,hist,mintill_cons,4.687,180,5.326136363636364
52338,WWHT,1995,CRS3,BAU,rf,hist,contill_bau,7.41,180,8.420454545454545
52338,WWHT,1995,CRS2,BAU,rf,hist,mintill_cons,4.785,180,5.4375
52338,WWHT,1999,CRS3,BAU,rf,hist,contill_bau,7.236,180,8.222727272727273
52338,WWHT,1999,CRS2,BAU,rf,hist,mintill_cons,5.367,180,6.098863636363636
52338,WWHT,2003,CRS3,BAU,rf,hist,contill_bau,7.223,180,8.207954545454545
52338,WWHT,2003,CRS2,BAU,rf,hist,mintill_cons,5.616,180,6.381818181818182
